message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,Bank payment update,0.9,none
msg_091,mute,scam,Suspicious login code request,0.9,msg_0381;msg_0238
msg_090,notify,personal,Direct inquiry,0.9,none
msg_048,mute,scam,Suspicious QR payment link,0.9,message_0151;message_0271
msg_040,mute,spam,Forwarded chain message,0.9,msg_0136
msg_075,notify,business_update,Ride update,0.9,message_0206;message_0205
msg_005,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_104,notify,personal,Time-sensitive pickup,0.9,msg_0224;msg_0050
msg_069,mute,forward,Repetitive forwarded message,0.9,message_0194;message_0247
msg_107,notify,urgent,Banking alert,1.0,none
msg_070,mute,scam,Suspicious OTP request,0.98,msg_0213;msg_0053
msg_003,notify,business_update,Order update,0.9,msg_0031
msg_099,notify,business_update,Work-related update,0.9,none
msg_008,digest,business_update,Non-urgent review request,0.8,message_0071;message_0072;message_0296
msg_092,digest,business_update,Non-urgent business update,0.9,none
msg_060,notify,urgent,Time-sensitive internship deadline,0.9,message_0176
msg_004,notify,business_update,Health update,0.9,msg_0246;msg_0245
msg_030,mute,promotion,Repetitive sales post,0.8,message_0115;message_0232
msg_045,notify,urgent,Time-sensitive delivery,0.9,none
msg_052,mute,scam,Unverified sender,0.9,msg_0208;msg_0207
msg_009,digest,event,Non-urgent group discussion,0.8,msg_0074;msg_0073
msg_071,digest,personal,Social plan discussion,0.8,none
msg_016,mute,scam,Suspicious login link,0.98,msg_0087;msg_0024
msg_065,digest,promotion,Target retail promotion,0.8,msg_0186
msg_038,mute,spam,Chain message,0.98,msg_0131;msg_0132
msg_086,mute,unknown,Unverified domain,0.8,none
msg_014,mute,promotion,User opted out of promotions,0.95,message_0017
msg_094,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_029,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_105,mute,spam,Repetitive forwarded message,0.9,msg_0233
msg_002,notify,urgent,Meeting preparation,0.9,none
msg_010,mute,promotion,Repeated business feedback request,0.8,message_0011
msg_078,digest,unknown,Processing error: 'float' object is not subscriptable,0.2,none
msg_013,mute,promotion,Sales pitch,0.9,none
msg_018,mute,scam,Suspicious reward claim,0.92,msg_0026;msg_0091
msg_044,mute,scam,Suspicious link,0.98,none
